Chromosome	Position_1	Position_2	Switch_Center	Sample_Name	Percent_Parental
ref|NC_001133|	12291	23106	17698.5	JMT49_CK	99.82626321123497
ref|NC_001133|	23106	28167	25636.5	JMT49_CK	99.82626321123497
ref|NC_001133|	67715	67855	67785.0	JMT49_CK	99.82626321123497
ref|NC_001134|	45594	45824	45709.0	JMT49_CK	99.82626321123497
ref|NC_001134|	103652	104641	104146.5	JMT49_CK	99.82626321123497
ref|NC_001134|	160618	160810	160714.0	JMT49_CK	99.82626321123497
ref|NC_001134|	539054	539253	539153.5	JMT49_CK	99.82626321123497
ref|NC_001134|	539861	540838	540349.5	JMT49_CK	99.82626321123497
ref|NC_001134|	626629	633855	630242.0	JMT49_CK	99.82626321123497
ref|NC_001134|	660575	660972	660773.5	JMT49_CK	99.82626321123497
ref|NC_001135|	57639	57857	57748.0	JMT49_CK	99.82626321123497
ref|NC_001135|	133715	136159	134937.0	JMT49_CK	99.82626321123497
ref|NC_001135|	209941	210635	210288.0	JMT49_CK	99.82626321123497
ref|NC_001136|	47467	48046	47756.5	JMT49_CK	99.82626321123497
ref|NC_001136|	48349	49108	48728.5	JMT49_CK	99.82626321123497
ref|NC_001136|	135409	136069	135739.0	JMT49_CK	99.82626321123497
ref|NC_001136|	302423	303051	302737.0	JMT49_CK	99.82626321123497
ref|NC_001136|	395873	396458	396165.5	JMT49_CK	99.82626321123497
ref|NC_001136|	612573	614738	613655.5	JMT49_CK	99.82626321123497
ref|NC_001136|	615114	615448	615281.0	JMT49_CK	99.82626321123497
ref|NC_001136|	768390	770283	769336.5	JMT49_CK	99.82626321123497
ref|NC_001136|	1010810	1011936	1011373.0	JMT49_CK	99.82626321123497
ref|NC_001136|	1011970	1012657	1012313.5	JMT49_CK	99.82626321123497
ref|NC_001136|	1012657	1013236	1012946.5	JMT49_CK	99.82626321123497
ref|NC_001136|	1057818	1057986	1057902.0	JMT49_CK	99.82626321123497
ref|NC_001136|	1077851	1079630	1078740.5	JMT49_CK	99.82626321123497
ref|NC_001136|	1304226	1304580	1304403.0	JMT49_CK	99.82626321123497
ref|NC_001137|	41432	42238	41835.0	JMT49_CK	99.82626321123497
ref|NC_001137|	42959	44403	43681.0	JMT49_CK	99.82626321123497
ref|NC_001137|	76382	77029	76705.5	JMT49_CK	99.82626321123497
ref|NC_001137|	156988	157582	157285.0	JMT49_CK	99.82626321123497
ref|NC_001137|	202380	202749	202564.5	JMT49_CK	99.82626321123497
ref|NC_001137|	204602	205199	204900.5	JMT49_CK	99.82626321123497
ref|NC_001137|	217449	220692	219070.5	JMT49_CK	99.82626321123497
ref|NC_001137|	353207	354234	353720.5	JMT49_CK	99.82626321123497
ref|NC_001137|	356033	356929	356481.0	JMT49_CK	99.82626321123497
ref|NC_001137|	356929	357072	357000.5	JMT49_CK	99.82626321123497
ref|NC_001137|	357269	357470	357369.5	JMT49_CK	99.82626321123497
ref|NC_001137|	391912	393051	392481.5	JMT49_CK	99.82626321123497
ref|NC_001137|	436514	436979	436746.5	JMT49_CK	99.82626321123497
ref|NC_001137|	479243	479598	479420.5	JMT49_CK	99.82626321123497
ref|NC_001138|	101264	101826	101545.0	JMT49_CK	99.82626321123497
ref|NC_001138|	108920	109247	109083.5	JMT49_CK	99.82626321123497
ref|NC_001138|	253673	253927	253800.0	JMT49_CK	99.82626321123497
ref|NC_001138|	254081	254393	254237.0	JMT49_CK	99.82626321123497
ref|NC_001138|	258210	258414	258312.0	JMT49_CK	99.82626321123497
ref|NC_001139|	254952	255210	255081.0	JMT49_CK	99.82626321123497
